Id,Faction,Tagline,LongCopy
poster_directorate_001,Directorate,"ORDER FROM CHAOS","The Directorate maintains discipline when others fail. Professional military structure. Reliable equipment. Join the force that will rebuild civilization from the ashes."
poster_directorate_002,Directorate,"DUTY. HONOR. VICTORY.","Pre-cascade military excellence adapted for post-cascade reality. We hold the line against chaos. Service guarantees stability."
poster_vultures_001,Vultures,"FROM SCRAP, STRENGTH","One person's wreck is another's fortune. The Vultures Union turns junk into power. Join the crews that make the impossible work."
poster_vultures_002,Vultures,"SALVAGE BEFORE THE STORM","Quick hands and sharp eyes find treasure in ruins. The Union teaches you to see value where others see waste."
poster_free77_001,Free77,"CONTRACT COMPLETE","Professional. Reliable. Results-oriented. Free 77 mercenaries deliver on every contract. Independent operators welcome."
poster_free77_002,Free77,"HIGHWAY TO FREEDOM","Born on the evacuation roads, forged in the post-cascade fire. Free contractors for a free world."
poster_combine_001,Combine,"THROUGH TECHNOLOGY, TOMORROW","The Corporate Combine leads humanity's technological renaissance. Advanced Hybrid systems. Cutting-edge research. The future, today."
poster_combine_002,Combine,"PROGRESS THROUGH SYNTHESIS","Human ingenuity meets Harvester innovation. Join the force that will master the technology of tomorrow."
poster_nomads_001,Nomads,"THE ROAD ENDURES","Mobile cities. Moving markets. Rolling homes. The Nomad Clans keep the world connected."
poster_nomads_002,Nomads,"FREEDOM IS MOBILITY","Why settle when you can roam? The convoy lifestyle offers independence and adventure."
poster_archivists_001,Archivists,"KNOWLEDGE PRESERVES","The Vaulted Archivists guard humanity's intellectual heritage. Libraries in the wasteland. Wisdom from the ruins."
poster_archivists_002,Archivists,"UNDERSTANDING OVER FORCE","True power comes from comprehension. We study what others simply exploit."
poster_wardens_001,Wardens,"WE STAND TOGETHER","Community protection. Civilian safety. Mutual aid. The Civic Wardens defend those who cannot defend themselves."
poster_wardens_002,Wardens,"PEACE THROUGH COOPERATION","Violence breeds more violence. The Wardens offer mediation and protection."
