TerritoryName,TerritoryInfo.TerritoryID,TerritoryInfo.TerritoryType,TerritoryInfo.Name,TerritoryInfo.Description,TerritoryInfo.ResourceType,TerritoryInfo.StrategicValue,TerritoryInfo.TacticalImportance,TerritoryInfo.WorldPosition,TerritoryInfo.ControlRadius,TerritoryInfo.ControlPointType,ConnectedTerritories,ParentTerritoryID,ChildTerritoryIDs
IEZRegion,2001,Region,IEZ Frontier Region,"Industrial exclusion zone with corporate facilities and nomad resistance camps",Economic,90,80,"(X=0,Y=0,Z=0)",600,CommandPost,"[2002,2003,2004,2005]",0,"[2002,2003,2004,2005]"
CorporateDistrict,2002,District,Corporate Hegemony Zone,"Corporate-controlled industrial district with advanced facilities and security",Economic,85,75,"(X=-300,Y=0,Z=0)",300,Checkpoint,"[2001,2006,2007,2008]",2001,"[2006,2007,2008]"
NomadDistrict,2003,District,Nomad Clans Territory,"Nomadic resistance camps with mobile infrastructure and guerrilla operations",Military,70,85,"(X=300,Y=200,Z=0)",250,CommandPost,"[2001,2009,2010,2011]",2001,"[2009,2010,2011]"
IndustrialCore,2004,District,Central Industrial Core,"Heavily fortified industrial complex with automated defenses",Technology,95,90,"(X=0,Y=-200,Z=0)",200,CommArray,"[2001,2012,2013]",2001,"[2012,2013]"
ConvoyJunction,2005,District,Convoy Route Junction,"Major supply route intersection with high convoy traffic",Economic,80,95,"(X=200,Y=300,Z=0)",175,SupplyDepot,"[2001,2014,2015]",2001,"[2014,2015]"
CorporateFacilityA,2006,ControlPoint,Primary Processing Facility,"Main corporate facility with extraction and processing capabilities",Economic,75,70,"(X=-400,Y=-100,Z=0)",100,ExtractionZone,"[2002,2007]",2002,"[]"
CorporateSecurityHub,2007,ControlPoint,Security Command Center,"Corporate security headquarters with surveillance systems",Military,65,80,"(X=-350,Y=100,Z=0)",75,Checkpoint,"[2002,2006,2008]",2002,"[]"
CorporateWarehouse,2008,ControlPoint,Corporate Storage Complex,"Massive warehouse complex for processed materials",Economic,70,65,"(X=-200,Y=50,Z=0)",90,SupplyDepot,"[2002,2007]",2002,"[]"
NomadBasecamp,2009,ControlPoint,Nomad Mobile Base,"Primary nomadic encampment with mobile structures",Strategic,60,75,"(X=350,Y=300,Z=0)",80,CommandPost,"[2003,2010]",2003,"[]"
NomadWatchtower,2010,ControlPoint,Elevated Observation Post,"Nomad watchtower overlooking corporate facilities",Strategic,55,85,"(X=400,Y=150,Z=50)",60,CommArray,"[2003,2009,2011]",2003,"[]"
NomadSupplyCache,2011,ControlPoint,Hidden Supply Cache,"Concealed nomad supply depot in industrial ruins",Military,50,70,"(X=250,Y=250,Z=0)",70,SupplyDepot,"[2003,2010]",2003,"[]"
ReactorComplex,2012,ControlPoint,Central Reactor,"Primary power generation facility for entire IEZ",Technology,100,85,"(X=-50,Y=-250,Z=0)",120,CommArray,"[2004,2013]",2004,"[]"
ProcessingPlant,2013,ControlPoint,Chemical Processing Plant,"Advanced chemical processing facility with hazardous materials",Technology,85,75,"(X=50,Y=-200,Z=0)",100,ExtractionZone,"[2004,2012]",2004,"[]"
ConvoyStation,2014,ControlPoint,Convoy Loading Station,"Main convoy loading and dispatch facility",Economic,75,90,"(X=150,Y=350,Z=0)",110,SupplyDepot,"[2005,2015]",2005,"[]"
ConvoyDefenses,2015,ControlPoint,Convoy Defense Platform,"Fortified defensive position protecting convoy routes",Military,70,95,"(X=250,Y=300,Z=0)",85,Checkpoint,"[2005,2014]",2005,"[]"
